id,0,1,2,3,4,5,6,7,8,9,10,Gender_M,tariff_CAT 200,tariff_CAT 50,tariff_Play 100,tariff_Play 300,Handset_ASAD90,Handset_BS110,Handset_BS210,Handset_CAS30,Handset_CAS60,Handset_S50,Handset_S80,Handset_SOP10,Handset_SOP20,Handset_WC95,Usage_Band_Low,Usage_Band_Med,Usage_Band_MedHigh,Usage_Band_MedLow,Tariff_OK_High CAT 50,Tariff_OK_High Play 100,Tariff_OK_OK,high Dropped calls_T,No Usage_T,target
K324860,-0.8700433048635196,1.2406917554465033,-0.24092214894130318,-0.6354592566177752,1.7386950228343359,0.9624281672932835,1.1797826346157365,-0.8240963491370514,-0.1546346172101369,0.4192270072813141,1.1067418638957514,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
K412380,-4.700049739797385,1.015340769532185,1.101819931843093,1.7552574575694349,-0.03030043573452305,0.4359411984573794,4.539541866676464,-0.30405494994700355,-0.5483093649962658,-0.6224078260665965,0.23232250795157253,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
K175310,2.604092702610414,0.11266753357642456,0.40148455663364013,0.74135563676209,-2.1162690540557545,-0.7542420085981233,-0.592759630404873,-0.8080526400721388,-0.2521636598309953,-0.29181823792210065,1.0496121464522197,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
K216040,-3.901387618397708,1.4171057187465128,0.15277672236667805,-0.12500241477756846,2.043063925803288,-0.27625887410958067,1.8675277571707816,0.2573037614680271,-0.12227051839003861,-1.0229413432497338,0.24727448538478755,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
K190610,0.7375802245773079,-1.0122282115078758,1.0696192676589074,-0.45965331598766895,1.6538395242187665,-0.31336834683393894,1.1611331941491263,-0.7935748709107535,-1.057138279082621,0.8461564379106364,2.000031320166927,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
K376370,-1.86811297335884,-1.1872504674821882,0.9287909385797102,0.8516373274180897,-1.7042736214567298,-1.1523432416376322,-0.7522124013389507,1.0258549856426475,0.20547924804537654,0.2362354522397424,-1.5513659384823109,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
K234800,-0.12991103921370056,-3.0452655623694893,-0.22948458494769622,-0.8560564471702629,-1.8227480057929335,1.1038773994886897,-0.621050899002134,1.1287351969000523,0.7675850386931181,-0.8729185947829387,0.26682779985578325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
K256750,-0.303120528420282,-1.8646562500331807,1.8313986075074062,-1.7389743111043767,2.0661600701808007,1.931297709628853,-0.8048365235280783,0.04174003253339384,1.114876493654515,0.11130633245277351,-1.5054039999538256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
K187670,2.1476807801402056,-1.6143852894531836,0.6309777392977269,0.7955277758649612,0.5908105171602083,-0.8580994113841329,-1.2420062863134564,0.2810573513280725,-0.49335851308663226,0.2429259500638859,1.2027930692499036,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
K209810,-1.3140673117857586,0.69288598595689,2.836178863638406,1.515750255305979,2.1107525294486877,-0.05937553490768355,-1.182769855766859,-2.479424105073316,-1.7281004415429853,-1.6824133973340751,0.9472495485833112,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
K410220,5.684224160615038,2.0355517721532963,0.793516197406614,2.8022664900436363,1.5957001252606835,-0.06648803410978997,2.527056482557952,-0.520438126854832,0.3239075913944029,-0.7510483119191845,0.9086715161812506,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
K208440,-2.005075797534017,1.7196319996737548,1.3038467091485664,1.2925430212183782,0.4324739351680176,0.6887011766457767,-1.6351781198419972,-1.8580388858733006,-1.334417639497236,-1.3905216215047895,0.02968344493740415,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
K217220,-4.012388781577977,0.10395561970716426,0.3161408131695824,-1.0037513858593328,2.3505071614443533,1.1794079512935773,-0.8397192643155479,-0.8491637688241368,-1.3615672065385471,-1.1878829687742696,-2.5019632440691812,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
K210160,-1.4154474794937713,2.140203622207326,0.5038028900052745,0.6450946629296941,1.3850649299810613,-1.7710142777161744,-0.6374113778431943,0.6800943300966215,-0.31704130330396724,-0.05040084156900991,0.8524684881291246,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
K307120,5.463267759985211,-1.3436992201887912,-2.0096986634855556,-2.2351611956782005,1.121188059929251,0.4901276325051913,0.84997785588048,0.021787428391904375,0.7317356910280975,-1.1852975502558156,-0.022574175852171998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
